id,reviews,target
0,조아요 처음구입 싸게햇어요,2
1,생각보다 잘 안돼요 매지 바른지 하루밖에 안됐는데ㅠㅠ 25천원가량 주고 사기 너무 아깝네요,1
2,디자인은괜찮은데 상품이 금이가서 교환했는데 두번째받은상품도 까져있고 안쪽에 금이가져있네요 ㅠ 귀찮아서 그냥쓰려구요 배송기사님은 친절하셨어요,2
3,"기전에 이 제품말고 이마트 트레이더스에서만 팔던 프리미엄 제품을 사용했었습니다. 샘플 써보고 마음에 들어 구매해 사용중 같은 제품을 팔지 않아 할수 없이 플러스를 구매했는데요, 감고나도 머리가 개운하지 않고 간지럽네요. 저랑은 잘 안맞는듯해요.",2
4,튼튼하고 손목을 잘 받쳐주네요~,5
5,"배송은 먼저 구입하신 분들께서 오래걸린다고 하여 참고 기달렸습니다 생각보다 일찍도착해서 좋았구요,하루전날 배송 아저씨가 전화와서 내일1~3시사이에 온다고 하더니 7시에왔어요화나",2
6,타이밍이 좋았는지 배송도 빠르고 맛있었어요! 크기가 두가지가 있길래 큰걸 사봤는데 기존에 사먹어봤던거랑 크기 차이는 없네요 그래도 신선하고 맛있어요!,5
7,상품 퀄리티가 좋지 않아요,2
8,재구매 평소 사용하던 제품이에요. 한번에 쟁여두려 여러개 삽니다 .,5
9,두께 때문에 별로네요..,2
10,재구매 항상 여기서만 주문해서 잘 쓰고있어요 후딱쓰기좋아요 크기도 좋구,5
11,화면하고 전혀틀림,2
12,재구매 좋은제품 저렴하게 잘 구매했습니다.,5
13,너무 잘사용했어요 감사합니다,4
14,촉촉하고 피부트러블이.없어요 .가성비 갑,5
15,다른거는 다만족하는데 나사부분이ㅈ맘엥ㆍㄴ들어서,4
16,"재구매 별로별로별로별로 불량품 교환이나 환불 미흡 고객센터 개인 휴대폰번호 이제 다른곳으로 주문,,, 별로별로",2
17,튼튼하고.좋아요 깔끔하게 정리되어서좋아요,5
18,빠른배송 신속한서비스로 잘 받았습니다.,5
19,완전 골아서 왔어요 집에서 썩은내가 진동해서 베란다문 열고 그래도 내장이랑 분리 해봤네요 오징어가 다 핑크색으로 변해있더라구요 내장과 분리해도 냄새가나서 버려야할듯~~ 완전 쓰레기를 돈주고 샀네요 제발 이런 상품 팔지 마세요 동네 마트가 더 산선해요,1
20,강추해요 너무 잘쓰고 있어ㅇᆢ,5
21,먼지가적다고하는데 전적은지모르겠어요. 극세사라고하던데..어느면이극세사인지도모르겠고요..아쉬워요.이럴줄알았음 돈더주고 다른제품샀을꺼같아요ㅠㅠ,2
22,빠른 배송에 친절한 기사님은 기본! 생각보다 고급스럽고 깔끔한게 주방에 두기 딱 좋아요~ 수납은 적힌 그대로 넉넉합니다^^,5
23,재구매 사이즈가 너무 작습니다,2
24,깨끗하게 정리되었어요! 굿굿,4
25,잘받았습니다 차량용 선글라스 클립에 낚여서 같이 구매했습니다여러가지를 한꺼번에 주문했는데 제일 맘에 드네요가성비 아주 좋다고 생각합니다 번창하세요,5
26,"굿 아주 맛잇어요,.,.,.,.,.,.,.,.,.,.,.,.,...,.,.,.,.,.,,,.,.",5
27,행사때문에 저렴하게 구입했네요~ 성능이 기대됩니다~,5
28,세척이 잘안되요. 그리고 냄새가 너무 찐해서 머리가 아파요,2
29,배송 많이 느려요,2
30,완전예뻐요~!!,5
31,항상마시는 루이보스티,5
32,색깔이랑 넘 이쁘고 팔걸이가 넓어 편하고 쿠션감도 좋아요,4
33,인터넷으로 사니 저렴하네요 좋습니다,5
34,참나.... 어제 받자마자 바로 사용 땅에 박을 수 있는 끝 부분?이 담날되니 땅에 박혀 버려서 안나오네요 이건머 일회용인가요?,2
35,맛있어요 깔끔하고 좋네요~,5
36,설 연휴라 오래 기다려야 할 줄 알았는데 바로 왔어요 매트리스도 너무 좋아요,5
